arrival_weekday,arrival_hour,ed_visits,avg_ed_los_minutes
Friday,0,7,60.0
Friday,1,5,63.2
Friday,2,1,2460.0
Friday,3,2,60.0
Friday,4,1,2340.0
Friday,5,2,60.0
Friday,6,1,76.0
Friday,7,1,60.0
Friday,9,1,261.0
Friday,11,2,300.0
Friday,12,1,180.0
Friday,13,1,60.0
Friday,16,1,60.0
Friday,17,2,60.0
Friday,20,4,63.0
Friday,21,1,60.0
Friday,22,2,240.0
Monday,1,1,60.0
Monday,3,9,220.0
Monday,4,1,22770.0
Monday,6,1,360.0
Monday,7,1,60.0
Monday,9,2,240.0
Monday,10,4,1380.0
Monday,13,3,7710.0
Monday,18,2,360.0
Monday,20,4,83.5
Monday,21,8,60.0
Saturday,0,2,60.0
Saturday,3,22,70.91
Saturday,5,1,107.0
Saturday,8,1,60.0
Saturday,9,1,60.0
Saturday,10,7,60.0
Saturday,13,2,60.0
Saturday,14,1,60.0
Saturday,16,1,60.0
Saturday,17,3,7240.0
Saturday,18,1,60.0
Saturday,20,2,90.0
Saturday,21,1,60.0
Saturday,22,1,60.0
Sunday,0,2,60.0
Sunday,1,2,60.0
Sunday,3,6,130.0
Sunday,4,1,60.0
Sunday,6,1,60.0
Sunday,10,13,60.0
Sunday,11,1,60.0
Sunday,12,4,105.0
Sunday,17,7,60.0
Sunday,19,2,60.0
Sunday,20,1,60.0
Sunday,21,1,60.0
Sunday,22,1,60.0
Thursday,2,1,60.0
Thursday,3,2,60.0
Thursday,6,2,60.0
Thursday,7,1,60.0
Thursday,8,1,60.0
Thursday,10,2,93.5
Thursday,11,2,330.0
Thursday,12,2,61.0
Thursday,13,1,60.0
Thursday,16,1,60.0
Thursday,19,2,360.0
Thursday,21,2,7410.0
Thursday,23,1,1380.0
Tuesday,1,2,60.0
Tuesday,3,1,60.0
Tuesday,5,1,60.0
Tuesday,8,2,150.0
Tuesday,9,1,60.0
Tuesday,10,2,60.0
Tuesday,11,1,9600.0
Tuesday,12,3,60.0
Tuesday,13,2,60.0
Tuesday,14,1,60.0
Tuesday,15,1,120.0
Tuesday,16,1,10980.0
Tuesday,18,1,60.0
Tuesday,19,1,7920.0
Tuesday,21,1,300.0
Wednesday,1,2,119.5
Wednesday,3,1,188.0
Wednesday,5,1,60.0
Wednesday,6,3,92.0
Wednesday,7,2,60.0
Wednesday,9,14,60.0
Wednesday,10,4,255.0
Wednesday,11,3,60.0
Wednesday,12,1,60.0
Wednesday,14,1,61.0
Wednesday,18,1,60.0
Wednesday,19,1,540.0
Wednesday,20,2,60.0
Wednesday,21,1,130.0
Wednesday,22,1,132.0
